|citation|section_title|text
0|151.1.a|  SHORT TITLE|This chapter may be cited as the Limited Sales, Excise, and Use Tax Act.
1|151.2.a|  APPLICABILITY OF DEFINITIONS, ETC|The definitions and other provisions of this chapter relating to the collection, administration, and enforcement of the taxes imposed by this chapter, including the requirements for sales tax permits, apply to the parties to a sale of a taxable item that is exempted from the taxes imposed by this chapter but that is subject to the taxes imposed by a city under Chapter 321 of this code.
2|151.28.a|  AMUSEMENT SERVICES|
3|151.28.a|  AMUSEMENT SERVICES|(a)
4|151.28.a|  AMUSEMENT SERVICES|Amusement services means the provision of amusement, entertainment, or recreation, but does not include the provision of educational or health services if prescribed by a licensed practitioner of the healing arts for the primary purpose of education or health maintenance or improvement.
5|151.28.b|  AMUSEMENT SERVICES|(b)
6|151.28.b|  AMUSEMENT SERVICES|Amusement services includes membership in a private club or organization that provides entertainment, recreational, sports, dining, or social facilities to its members.
7|151.28.c|  AMUSEMENT SERVICES|(c)
8|151.28.c|  AMUSEMENT SERVICES|Amusement services does not include services provided through coin-operated machines that are operated by the consumer.
9|151.3.c|  BUSINESS|Business means an activity of or caused by a person for the purpose of a direct or indirect gain, benefit, or advantage.
10|151.31.c|  COMPUTER PROGRAM|Computer program means a series of instructions that are coded for acceptance or use by a computer system and that are designed to permit the computer system to process data and provide results and information.  The series of instructions may be contained in or on magnetic tapes, punched cards, printed instructions, or other tangible or electronic media.
11|151.33.c|  CABLE TELEVISION SERVICE|Cable television service means the distribution of video programming with or without use of wires to subscribing or paying customers.
12|151.34.c|  CREDIT REPORTING SERVICE|Credit reporting service means assembling or furnishing credit history or credit information relating to any person.
13|151.35.c|  DATA PROCESSING SERVICE|Data processing service includes word processing, data entry, data retrieval, data search, information compilation, payroll and business accounting data production, the performance of a totalisator service with the use of computational equipment required by Subtitle A-1, Title 13, Occupations Code (Texas Racing Act), and other computerized data and information storage or manipulation.  Data processing service also includes the use of a computer or computer time for data processing whether the processing is performed by the provider of the computer or computer time or by the purchaser or other beneficiary of the service.  Data processing service does not include the transcription of medical dictation by a medical transcriptionist.  Data storage, as used in this section, does not include a classified advertisement, banner advertisement, vertical advertisement, or link when the item is displayed on an Internet website owned by another person.
14|151.36.c|  DEBT COLLECTION SERVICE|
15|151.36.a|  DEBT COLLECTION SERVICE|(a)
16|151.36.a|  DEBT COLLECTION SERVICE|Debt collection service means activity to collect or adjust a delinquent debt, to collect or adjust a claim, or to repossess property subject to a claim.
17|151.36.b|  DEBT COLLECTION SERVICE|(b)
18|151.36.b|  DEBT COLLECTION SERVICE|Debt collection service does not include:
19|151.36.1|  DEBT COLLECTION SERVICE|(1)
20|151.36.1|  DEBT COLLECTION SERVICE|the collection of:
21|151.36.A|  DEBT COLLECTION SERVICE|(A)
22|151.36.A|  DEBT COLLECTION SERVICE|a judgment by an attorney or by a partnership or professional corporation of attorneys if the attorney, partnership, or corporation represented the person in the suit from which the judgment arose;  or
23|151.36.B|  DEBT COLLECTION SERVICE|(B)
24|151.36.B|  DEBT COLLECTION SERVICE|court-ordered child support or medical child support;  or
25|151.36.2|  DEBT COLLECTION SERVICE|(2)
26|151.36.2|  DEBT COLLECTION SERVICE|a service provided by a person acting as a trustee in connection with the foreclosure sale of real property under a lien created by a mortgage, deed of trust, or security instrument.
27|151.36.c|  DEBT COLLECTION SERVICE|(c)
28|151.36.c|  DEBT COLLECTION SERVICE|Debt collection service includes the service performed for which a fee is collected under Section 3.506, Business & Commerce Code. The person collecting the check shall add the amount of the tax to the fee in accordance with Section 151.052 and shall collect the fee from the drawer or endorser of the check.
29|151.38.c|  INFORMATION SERVICE|
30|151.38.a|  INFORMATION SERVICE|(a)
31|151.38.a|  INFORMATION SERVICE|Information service means:
32|151.38.1|  INFORMATION SERVICE|(1)
33|151.38.1|  INFORMATION SERVICE|furnishing general or specialized news or other current information, including financial information, unless furnished to:
34|151.38.A|  INFORMATION SERVICE|(A)
35|151.38.A|  INFORMATION SERVICE|a newspaper or to a radio or television station licensed by the Federal Communications Commission;  or
36|151.38.B|  INFORMATION SERVICE|(B)
37|151.38.B|  INFORMATION SERVICE|a member of a homeowners association of a residential subdivision or condominium development, and is furnished by the association or on behalf of the association;  or
38|151.38.2|  INFORMATION SERVICE|(2)
39|151.38.2|  INFORMATION SERVICE|electronic data retrieval or research.
40|151.38.b|  INFORMATION SERVICE|(b)
41|151.38.b|  INFORMATION SERVICE|In this section, newspaper has the meaning assigned by Section 151.319(f).
42|151.39.b|  INSURANCE SERVICE|
43|151.39.a|  INSURANCE SERVICE|(a)
44|151.39.a|  INSURANCE SERVICE|Except as provided in Subsection (b), insurance service means insurance loss or damage appraisal, insurance inspection, insurance investigation, insurance actuarial analysis or research, insurance claims adjustment or claims processing, or insurance loss prevention service.
45|151.39.b|  INSURANCE SERVICE|(b)
46|151.39.b|  INSURANCE SERVICE|Insurance service does not include:
47|151.39.1|  INSURANCE SERVICE|(1)
48|151.39.1|  INSURANCE SERVICE|insurance coverage for which a premium is paid or commissions paid to insurance agents for the sale of insurance or annuities;
49|151.39.2|  INSURANCE SERVICE|(2)
50|151.39.2|  INSURANCE SERVICE|a service performed on behalf of an insured by a person licensed under Chapter 4102, Insurance Code;
51|151.39.3|  INSURANCE SERVICE|(3)
52|151.39.3|  INSURANCE SERVICE|a service performed by a certified public accountancy firm, if less than one percent of the firm's total revenue in the prior calendar year is from services in this state that would otherwise constitute insurance service under Subsection (a); or
53|151.39.4|  INSURANCE SERVICE|(4)
54|151.39.4|  INSURANCE SERVICE|a service performed on behalf of a certified public accountancy firm by an owner of the firm or a member of the firm's affiliated group, if less than one percent of the owner's or member's total revenue in the prior calendar year is from services in this state that would otherwise constitute insurance service under Subsection (a).
55|151.39.c|  INSURANCE SERVICE|(c)
56|151.39.c|  INSURANCE SERVICE|In this section:
57|151.39.1|  INSURANCE SERVICE|(1)
58|151.39.1|  INSURANCE SERVICE|Affiliated group has the meaning assigned by Section 171.0001.
59|151.39.2|  INSURANCE SERVICE|(2)
60|151.39.2|  INSURANCE SERVICE|Certified public accountancy firm has the meaning assigned by Section 901.002, Occupations Code.
61|151.393.2|  INTERNET|Internet means collectively the myriad of computer and telecommunications facilities, including equipment and operating software, that comprise the interconnected worldwide network of networks that employ the Transmission Control Protocol/Internet Protocol, or any predecessor or successor protocols to the protocol, to communicate information of all kinds by wire or radio.
62|151.394.2|  INTERNET ACCESS SERVICE|
63|151.394.a|  INTERNET ACCESS SERVICE|(a)
64|151.394.a|  INTERNET ACCESS SERVICE|Internet access service means a service that enables users to access content, information, electronic mail, or other services offered over the Internet and may also include access to proprietary content, information, and other services as part of a package of services offered to consumers.  The term does not include telecommunications services.
65|151.394.b|  INTERNET ACCESS SERVICE|(b)
66|151.394.b|  INTERNET ACCESS SERVICE|Internet access service does not include and the exemption under Section 151.325 does not apply to any other taxable service listed in Section 151.0101(a), unless the taxable service is provided in conjunction with and is merely incidental to the provision of Internet access service.
67|151.394.c|  INTERNET ACCESS SERVICE|(c)
68|151.394.c|  INTERNET ACCESS SERVICE|On and after October 1, 1999, Internet access service is not included in the definitions of data processing service and information service.
69|151.4.c|  IN THIS STATE|In this state means within the exterior limits of Texas and includes all territory within these limits ceded to or owned by the United States.
70|151.45.c|  PERSONAL SERVICES|Personal services means those personal services listed as personal services under Group 721, Major Group 72 of the Standard Industrial Classification Manual, 1972, and includes massage parlors, escort services, and Turkish baths under Group 729 of said manual but does not include any other services listed under Group 729 unless otherwise covered under this chapter, prepared by the statistical policy division of the office on management and budget, office of the president of the United States.  The term does not include services provided through coin-operated machines that are operated by the consumer.
71|151.47.c|  REAL PROPERTY REPAIR AND REMODELING|
72|151.47.a|  REAL PROPERTY REPAIR AND REMODELING|(a)
73|151.47.a|  REAL PROPERTY REPAIR AND REMODELING|Real property repair and remodeling means the repair, restoration, remodeling, or modification of an improvement to real property other than:
74|151.47.1|  REAL PROPERTY REPAIR AND REMODELING|(1)
75|151.47.1|  REAL PROPERTY REPAIR AND REMODELING|a structure or separate part of a structure used as a residence;
76|151.47.2|  REAL PROPERTY REPAIR AND REMODELING|(2)
77|151.47.2|  REAL PROPERTY REPAIR AND REMODELING|an improvement immediately adjacent to a structure described by Subdivision
78|151.47.1|  REAL PROPERTY REPAIR AND REMODELING|(1)
79|151.47.1|  REAL PROPERTY REPAIR AND REMODELING|of this section and used in the residential occupancy of the structure or separate part of the structure by the person using the structure or part as a residence;  or
80|151.47.3|  REAL PROPERTY REPAIR AND REMODELING|(3)
81|151.47.3|  REAL PROPERTY REPAIR AND REMODELING|an improvement to a manufacturing or processing production unit in a petrochemical refinery or chemical plant that provides increased capacity in the production unit.
82|151.47.b|  REAL PROPERTY REPAIR AND REMODELING|(b)
83|151.47.b|  REAL PROPERTY REPAIR AND REMODELING|In this section:
84|151.47.1|  REAL PROPERTY REPAIR AND REMODELING|(1)
85|151.47.1|  REAL PROPERTY REPAIR AND REMODELING|Increased capacity means the capability to produce:
86|151.47.A|  REAL PROPERTY REPAIR AND REMODELING|(A)
87|151.47.A|  REAL PROPERTY REPAIR AND REMODELING|additional products or services as measured by units per hour or units per year;  or
88|151.47.B|  REAL PROPERTY REPAIR AND REMODELING|(B)
89|151.47.B|  REAL PROPERTY REPAIR AND REMODELING|a new product or service.
90|151.47.2|  REAL PROPERTY REPAIR AND REMODELING|(2)
91|151.47.2|  REAL PROPERTY REPAIR AND REMODELING|Production unit means a group of manufacturing and processing machines and ancillary equipment that together are necessary to create or produce a physical or chemical change beginning with the first processing of the raw material and ending with the finished product.
92|151.47.3|  REAL PROPERTY REPAIR AND REMODELING|(3)
93|151.47.3|  REAL PROPERTY REPAIR AND REMODELING|New product means a product that:
94|151.47.A|  REAL PROPERTY REPAIR AND REMODELING|(A)
95|151.47.A|  REAL PROPERTY REPAIR AND REMODELING|has different product properties and a different commercial application than the product previously manufactured or processed by the production unit that produced the previous product;  and
96|151.47.B|  REAL PROPERTY REPAIR AND REMODELING|(B)
97|151.47.B|  REAL PROPERTY REPAIR AND REMODELING|is not created by straining or purifying an existing product or by making cosmetic changes, such as adding or removing color or odor, to or from an existing product.
98|151.48.B|  REAL PROPERTY SERVICE|
99|151.48.a|  REAL PROPERTY SERVICE|(a)
100|151.48.a|  REAL PROPERTY SERVICE|Except as provided by Subsection (b), real property service means:
101|151.48.1|  REAL PROPERTY SERVICE|(1)
102|151.48.1|  REAL PROPERTY SERVICE|landscaping;
103|151.48.2|  REAL PROPERTY SERVICE|(2)
104|151.48.2|  REAL PROPERTY SERVICE|the care and maintenance of lawns, yards, or ornamental trees or other plants;
105|151.48.3|  REAL PROPERTY SERVICE|(3)
106|151.48.3|  REAL PROPERTY SERVICE|the removal or collection of garbage, rubbish, or other solid waste other than:
107|151.48.A|  REAL PROPERTY SERVICE|(A)
108|151.48.A|  REAL PROPERTY SERVICE|hazardous waste;
109|151.48.B|  REAL PROPERTY SERVICE|(B)
110|151.48.B|  REAL PROPERTY SERVICE|industrial solid waste;
111|151.48.C|  REAL PROPERTY SERVICE|(C)
112|151.48.C|  REAL PROPERTY SERVICE|waste material that results from an activity associated with the exploration, development, or production of oil, gas, geothermal resources, or any other substance or material regulated by the Railroad Commission of Texas under Section 91.101, Natural Resources Code;
113|151.48.D|  REAL PROPERTY SERVICE|(D)
114|151.48.D|  REAL PROPERTY SERVICE|domestic sewage or an irrigation return flow, to the extent the sewage or return flow does not constitute garbage or rubbish;  and
115|151.48.E|  REAL PROPERTY SERVICE|(E)
116|151.48.E|  REAL PROPERTY SERVICE|industrial discharges subject to regulation by permit issued pursuant to Chapter 26, Water Code;
117|151.48.4|  REAL PROPERTY SERVICE|(4)
118|151.48.4|  REAL PROPERTY SERVICE|building or grounds cleaning, janitorial, or custodial services;
119|151.48.5|  REAL PROPERTY SERVICE|(5)
120|151.48.5|  REAL PROPERTY SERVICE|a structural pest control service covered by Section 1951.003, Occupations Code;  or
121|151.48.6|  REAL PROPERTY SERVICE|(6)
122|151.48.6|  REAL PROPERTY SERVICE|the surveying of real property.
123|151.48.b|  REAL PROPERTY SERVICE|(b)
124|151.48.b|  REAL PROPERTY SERVICE|Real property service does not include a service listed under Subsection
125|151.48.a|  REAL PROPERTY SERVICE|(a)
126|151.48.a|  REAL PROPERTY SERVICE|if the service is purchased by a contractor as part of the improvement of real property with a new structure to be used as a residence or other improvement immediately adjacent to the new structure and used in the residential occupancy of the structure.(b-1) Real property service does not include a service listed under Subsection
127|151.48.a|  REAL PROPERTY SERVICE|(a)
128|151.48.a|  REAL PROPERTY SERVICE|if the service is performed by a landman and is necessary to negotiate or secure land or mineral rights for acquisition or trade, including:
129|151.48.1|  REAL PROPERTY SERVICE|(1)
130|151.48.1|  REAL PROPERTY SERVICE|determining ownership;
131|151.48.2|  REAL PROPERTY SERVICE|(2)
132|151.48.2|  REAL PROPERTY SERVICE|negotiating a trade or agreement regarding land or mineral rights;
133|151.48.3|  REAL PROPERTY SERVICE|(3)
134|151.48.3|  REAL PROPERTY SERVICE|drafting and administering contractual agreements;
135|151.48.4|  REAL PROPERTY SERVICE|(4)
136|151.48.4|  REAL PROPERTY SERVICE|ensuring that all governmental regulations are complied with; and
137|151.48.5|  REAL PROPERTY SERVICE|(5)
138|151.48.5|  REAL PROPERTY SERVICE|any other action necessary to complete the transaction related to a service described by this subsection, other than an information service described by Section 151.0038.
139|151.48.c|  REAL PROPERTY SERVICE|(c)
140|151.48.c|  REAL PROPERTY SERVICE|In this section, contractor means a person who makes an improvement on real estate and who, as a necessary or incidental part of the service, incorporates tangible personal property into the property improved.  The term includes a builder, developer, speculative builder, or other person acting as a builder to improve residential real property.
141|151.5.c|  SALE OR PURCHASE|Sale or purchase means any of the following when done or performed for consideration:
142|151.5.1|  SALE OR PURCHASE|(1)
143|151.5.1|  SALE OR PURCHASE|a transfer of title or possession of tangible personal property;
144|151.5.2|  SALE OR PURCHASE|(2)
145|151.5.2|  SALE OR PURCHASE|the exchange, barter, lease, or rental of tangible personal property;
146|151.5.3|  SALE OR PURCHASE|(3)
147|151.5.3|  SALE OR PURCHASE|the performance of a taxable service, the charge for an extended warranty or service contract for the performance of a taxable service, or, in the case of an amusement service, a transfer of title to or possession of a ticket or other admission document, the collection of an admission fee, whether by individual performance, subscription series, or membership privilege, the collection of dues or a fee, charge, or assessment, including an initiation fee, by a club or organization for membership or a special privilege, status, or membership classification in the club or organization, or the use of a coin-operated machine;
148|151.5.4|  SALE OR PURCHASE|(4)
149|151.5.4|  SALE OR PURCHASE|the production, fabrication, processing, printing, or imprinting of tangible personal property for consumers who directly or indirectly furnish the materials used in the production, fabrication, processing, printing, or imprinting;
150|151.5.5|  SALE OR PURCHASE|(5)
151|151.5.5|  SALE OR PURCHASE|the furnishing and distribution of tangible personal property by a social club or fraternal organization to anyone;
152|151.5.6|  SALE OR PURCHASE|(6)
153|151.5.6|  SALE OR PURCHASE|the furnishing, preparation, or service of food, meals, or drinks;
154|151.5.7|  SALE OR PURCHASE|(7)
155|151.5.7|  SALE OR PURCHASE|a transfer of the possession of tangible personal property if the title to the property is retained by the seller as security for the payment of the price;  or
156|151.5.8|  SALE OR PURCHASE|(8)
157|151.5.8|  SALE OR PURCHASE|a transfer of the title or possession of tangible personal property that has been produced, fabricated, or printed to the special order of the customer.
158|151.6.8|  SALE FOR RESALE|
159|151.6.a|  SALE FOR RESALE|(a)
160|151.6.a|  SALE FOR RESALE|Sale for resale means a sale of:
161|151.6.1|  SALE FOR RESALE|(1)
162|151.6.1|  SALE FOR RESALE|tangible personal property or a taxable service to a purchaser who acquires the property or service for the purpose of reselling it as a taxable item as defined by Section 151.010 in the United States of America or a possession or territory of the United States of America or in the United Mexican States in the normal course of business in the form or condition in which it is acquired or as an attachment to or integral part of other tangible personal property or taxable service;
163|151.6.2|  SALE FOR RESALE|(2)
164|151.6.2|  SALE FOR RESALE|tangible personal property to a purchaser for the sole purpose of the purchaser's leasing or renting it in the United States of America or a possession or territory of the United States of America or in the United Mexican States in the normal course of business to another person, but not if incidental to the leasing or renting of real estate;
165|151.6.3|  SALE FOR RESALE|(3)
166|151.6.3|  SALE FOR RESALE|tangible personal property to a purchaser who acquires the property for the purpose of transferring it in the United States of America or a possession or territory of the United States of America or in the United Mexican States as an integral part of a taxable service;
167|151.6.4|  SALE FOR RESALE|(4)
168|151.6.4|  SALE FOR RESALE|a taxable service performed on tangible personal property that is held for sale by the purchaser of the taxable service; or
